"REF_DATE","GEO","DGUID","Prices","Industries","Seasonal adjustment","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2016-01","Canada","2016A000011124","2017 constant prices","Accommodation","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400172","1.2.4.1","2096","","","","0"
"2016-04","Canada","2016A000011124","2017 constant prices","Accommodation","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400172","1.2.4.1","2126","","","","0"
"2016-07","Canada","2016A000011124","2017 constant prices","Accommodation","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400172","1.2.4.1","2216","","","","0"
"2016-10","Canada","2016A000011124","2017 constant prices","Accommodation","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400172","1.2.4.1","2144","","","","0"
"2017-01","Canada","2016A000011124","2017 constant prices","Accommodation","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400172","1.2.4.1","2143","","","","0"
"2017-04","Canada","2016A000011124","2017 constant prices","Accommodation","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400172","1.2.4.1","2225","","","","0"
"2017-07","Canada","2016A000011124","2017 constant prices","Accommodation","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400172","1.2.4.1","2288","","","","0"
"2017-10","Canada","2016A000011124","2017 constant prices","Accommodation","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400172","1.2.4.1","2270","","","","0"
"2018-01","Canada","2016A000011124","2017 constant prices","Accommodation","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400172","1.2.4.1","2294","","","","0"
"2018-04","Canada","2016A000011124","2017 constant prices","Accommodation","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400172","1.2.4.1","2336","","","","0"
"2018-07","Canada","2016A000011124","2017 constant prices","Accommodation","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400172","1.2.4.1","2415","","","","0"
"2018-10","Canada","2016A000011124","2017 constant prices","Accommodation","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400172","1.2.4.1","2483","","","","0"
"2019-01","Canada","2016A000011124","2017 constant prices","Accommodation","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400172","1.2.4.1","2532","","","","0"
"2019-04","Canada","2016A000011124","2017 constant prices","Accommodation","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400172","1.2.4.1","2601","","","","0"
"2019-07","Canada","2016A000011124","2017 constant prices","Accommodation","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400172","1.2.4.1","2637","","","","0"
