"REF_DATE","GEO","DGUID","Prices","Seasonal adjustment","Indicators","Products","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2024-07","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Transportation","Dollars","81","millions","6","v19457999","1.3.2.1.3","10100","","","","0"
"2024-10","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Transportation","Dollars","81","millions","6","v19457999","1.3.2.1.3","10295","","","","0"
"2025-01","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Transportation","Dollars","81","millions","6","v19457999","1.3.2.1.3","10285","","","","0"
"2010-01","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Accommodation","Dollars","81","millions","6","v19458007","1.3.2.1.11","3011","","","","0"
"2010-04","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Accommodation","Dollars","81","millions","6","v19458007","1.3.2.1.11","3047","","","","0"
"2010-07","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Accommodation","Dollars","81","millions","6","v19458007","1.3.2.1.11","3061","","","","0"
"2010-10","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Accommodation","Dollars","81","millions","6","v19458007","1.3.2.1.11","3068","","","","0"
"2011-01","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Accommodation","Dollars","81","millions","6","v19458007","1.3.2.1.11","3088","","","","0"
"2011-04","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Accommodation","Dollars","81","millions","6","v19458007","1.3.2.1.11","3137","","","","0"
"2011-07","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Accommodation","Dollars","81","millions","6","v19458007","1.3.2.1.11","3161","","","","0"
"2011-10","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Accommodation","Dollars","81","millions","6","v19458007","1.3.2.1.11","3178","","","","0"
"2012-01","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Accommodation","Dollars","81","millions","6","v19458007","1.3.2.1.11","3163","","","","0"
"2012-04","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Accommodation","Dollars","81","millions","6","v19458007","1.3.2.1.11","3182","","","","0"
"2012-07","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Accommodation","Dollars","81","millions","6","v19458007","1.3.2.1.11","3158","","","","0"
"2012-10","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Accommodation","Dollars","81","millions","6","v19458007","1.3.2.1.11","3171","","","","0"
"2013-01","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Accommodation","Dollars","81","millions","6","v19458007","1.3.2.1.11","3183","","","","0"
"2013-04","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Accommodation","Dollars","81","millions","6","v19458007","1.3.2.1.11","3217","","","","0"
"2013-07","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Accommodation","Dollars","81","millions","6","v19458007","1.3.2.1.11","3244","","","","0"
"2013-10","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Accommodation","Dollars","81","millions","6","v19458007","1.3.2.1.11","3218","","","","0"
"2014-01","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Accommodation","Dollars","81","millions","6","v19458007","1.3.2.1.11","3218","","","","0"
"2014-04","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Accommodation","Dollars","81","millions","6","v19458007","1.3.2.1.11","3256","","","","0"
"2014-07","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Accommodation","Dollars","81","millions","6","v19458007","1.3.2.1.11","3277","","","","0"
"2014-10","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Accommodation","Dollars","81","millions","6","v19458007","1.3.2.1.11","3299","","","","0"
"2015-01","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Accommodation","Dollars","81","millions","6","v19458007","1.3.2.1.11","3281","","","","0"
"2015-04","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Tourism demand","Accommodation","Dollars","81","millions","6","v19458007","1.3.2.1.11","3310","","","","0"
